File,Outputs,Mean [ms],StdDev [ms],RelStdDev [%],Best [ms],Median [ms],Worst [ms]
adt_plugin_compatibility.vpr,0,1181,117,9,1016,1250,1279
duplicate_decl.vpr,0,823,72,8,721,866,882
goto.vpr,1,6,0,0,6,6,7
goto2.vpr,1,4,0,0,4,5,5
inc.vpr,0,1539,84,5,1420,1594,1605
inc_old.vpr,2,1275,36,2,1244,1255,1326
inc_uniqueNameclashing.vpr,0,1162,22,1,1134,1165,1188
inc_wrong_bc.vpr,1,1320,96,7,1219,1292,1450
inc_wrong_fold_ghost.vpr,2,1415,59,4,1332,1447,1467
inc_wrong_precond.vpr,1,1188,31,2,1152,1185,1229
inc_wrong_precond_2.vpr,1,1254,30,2,1211,1271,1280
inc_wrong_precond_3.vpr,1,1138,41,3,1080,1167,1169
inc_wrong_precond_4.vpr,1,961,16,1,938,973,973
len.vpr,0,1089,40,3,1032,1118,1119
list_copy.vpr,0,1062,42,3,1016,1052,1118
missing_pre.vpr,1,657,54,8,618,620,735
missing_pre_2.vpr,1,671,11,1,656,679,680
multiple_targets_in_one_spec.vpr,2,718,17,2,697,719,739
nested_loops.vpr,0,801,44,5,745,805,855
normal_loop.vpr,0,616,25,4,580,629,639
normal_loop2.vpr,0,725,19,2,701,725,749
not_missing_pre.vpr,0,761,29,3,735,747,802
not_missing_pre_2.vpr,0,1324,180,13,1149,1251,1573
only_works_for_ie.vpr,0,834,137,16,645,894,965
postnotpresis_plusduplicatetargetdecl.vpr,2,987,151,15,828,943,1190
prec_not_established.vpr,1,741,26,3,709,742,774
prec_not_preserved.vpr,1,645,50,7,597,625,715
pre_body.vpr,1,6,0,0,6,6,7
pre_outside.vpr,1,4,0,0,4,4,5
pre_precond.vpr,1,5,0,0,5,5,6
targets_declin.vpr,2,8,0,0,7,8,9
targets_declinbase.vpr,4,6,0,0,6,6,6
targets_declinghost.vpr,2,6,0,0,6,6,6
targets_declin_assin.vpr,1,4,0,0,4,4,5
targets_declin_assout.vpr,3,5,0,0,4,5,6
targets_declout_assin.vpr,0,834,96,11,740,797,967
targets_declout_assout.vpr,0,737,41,5,679,763,769
targets_declout_postnotpresbc.vpr,1,811,73,9,710,843,881
test_with_all.vpr,0,803,49,6,763,775,873
