File,Outputs,Mean [ms],StdDev [ms],RelStdDev [%],Best [ms],Median [ms],Worst [ms]
adt_plugin_compatibility.vpr,0,937,78,8,833,955,1024
duplicate_decl.vpr,0,848,52,6,788,840,917
goto.vpr,2,9,1,11,7,10,11
goto2.vpr,2,6,0,0,5,6,7
inc.vpr,0,1863,73,3,1789,1836,1964
inc_old.vpr,1,60,0,0,60,60,61
inc_uniqueNameclashing.vpr,0,1594,97,6,1456,1662,1665
inc_wrong_bc.vpr,1,1316,53,4,1241,1354,1355
inc_wrong_fold_ghost.vpr,2,1273,36,2,1222,1293,1304
inc_wrong_precond.vpr,3,1044,32,3,999,1066,1068
inc_wrong_precond_2.vpr,3,1121,83,7,1053,1072,1238
inc_wrong_precond_3.vpr,3,1065,86,8,966,1055,1176
inc_wrong_precond_4.vpr,3,1155,52,4,1116,1121,1230
len.vpr,0,1070,49,4,1019,1054,1137
list_copy.vpr,0,1120,35,3,1088,1102,1170
missing_pre.vpr,1,680,22,3,654,678,710
missing_pre_2.vpr,1,722,43,5,681,704,783
multiple_targets_in_one_spec.vpr,2,711,40,5,656,730,749
nested_loops.vpr,0,799,29,3,768,792,838
normal_loop.vpr,0,699,69,9,642,658,797
normal_loop2.vpr,0,799,35,4,752,808,837
not_missing_pre.vpr,0,669,14,2,656,662,690
not_missing_pre_2.vpr,1,733,37,5,681,755,765
only_works_for_ie.vpr,1,749,30,4,712,749,787
postnotpresis_plusduplicatetargetdecl.vpr,2,720,93,12,647,662,853
prec_not_established.vpr,1,865,33,3,820,877,899
prec_not_preserved.vpr,1,861,24,2,833,859,893
pre_body.vpr,1,4,0,0,4,5,5
pre_outside.vpr,1,5,0,0,5,5,5
pre_precond.vpr,1,6,0,0,6,6,6
targets_declin.vpr,2,5,0,0,4,5,6
targets_declinbase.vpr,4,5,0,0,5,6,6
targets_declinghost.vpr,2,6,1,16,5,7,7
targets_declin_assin.vpr,1,5,0,0,5,5,6
targets_declin_assout.vpr,3,4,1,25,3,5,6
targets_declout_assin.vpr,0,798,71,8,727,772,895
targets_declout_assout.vpr,1,728,45,6,664,753,767
targets_declout_postnotpresbc.vpr,1,833,41,4,776,852,873
test_with_all.vpr,0,720,51,7,648,746,766
