File,Outputs,Mean [ms],StdDev [ms],RelStdDev [%],Best [ms],Median [ms],Worst [ms]
adt_plugin_compatibility.vpr,0,733,42,5,685,728,788
duplicate_decl.vpr,0,626,31,4,595,615,670
goto.vpr,2,6,0,0,5,6,7
goto2.vpr,2,6,1,16,5,7,7
inc.vpr,0,1070,91,8,978,1038,1194
inc_old.vpr,1,29,1,3,28,30,31
inc_uniqueNameclashing.vpr,0,749,47,6,682,781,786
inc_wrong_bc.vpr,1,849,33,3,804,862,883
inc_wrong_fold_ghost.vpr,2,851,29,3,814,853,886
inc_wrong_precond.vpr,3,562,61,10,517,520,649
inc_wrong_precond_2.vpr,3,602,81,13,526,567,715
inc_wrong_precond_3.vpr,3,628,57,9,560,625,700
inc_wrong_precond_4.vpr,3,562,42,7,518,550,619
len.vpr,0,633,128,20,500,593,806
list_copy.vpr,0,751,123,16,620,717,916
missing_pre.vpr,1,414,11,2,403,410,431
missing_pre_2.vpr,1,411,8,1,401,410,422
multiple_targets_in_one_spec.vpr,2,360,32,8,325,352,403
nested_loops.vpr,0,428,6,1,419,429,436
normal_loop.vpr,0,451,43,9,418,423,512
normal_loop2.vpr,0,533,30,5,491,552,558
not_missing_pre.vpr,0,413,25,6,394,396,449
not_missing_pre_2.vpr,1,429,50,11,373,419,496
only_works_for_ie.vpr,1,380,37,9,342,367,432
postnotpresis_plusduplicatetargetdecl.vpr,2,362,19,5,335,373,378
prec_not_established.vpr,1,426,19,4,406,420,453
prec_not_preserved.vpr,1,431,22,5,410,420,463
pre_body.vpr,1,4,0,0,4,4,4
pre_outside.vpr,1,4,0,0,4,4,4
pre_precond.vpr,1,4,0,0,4,4,5
targets_declin.vpr,2,3,0,0,3,4,4
targets_declinbase.vpr,4,4,0,0,4,4,5
targets_declinghost.vpr,2,4,0,0,4,4,5
targets_declin_assin.vpr,1,3,0,0,3,4,4
targets_declin_assout.vpr,3,3,0,0,3,4,4
targets_declout_assin.vpr,0,420,18,4,394,432,435
targets_declout_assout.vpr,1,401,23,5,383,387,434
targets_declout_postnotpresbc.vpr,1,393,14,3,374,397,408
test_with_all.vpr,0,450,24,5,430,436,484
