File,Outputs,Mean [ms],StdDev [ms],RelStdDev [%],Best [ms],Median [ms],Worst [ms]
adt_plugin_compatibility.vpr,0,1095,34,3,1067,1076,1144
duplicate_decl.vpr,0,1013,58,5,954,994,1093
goto.vpr,1,9,0,0,8,9,10
goto2.vpr,1,7,0,0,6,7,8
inc.vpr,0,1988,83,4,1872,2032,2062
inc_old.vpr,2,1640,116,7,1527,1593,1801
inc_uniqueNameclashing.vpr,0,1508,64,4,1441,1489,1595
inc_wrong_bc.vpr,1,1655,152,9,1489,1621,1857
inc_wrong_fold_ghost.vpr,2,1878,40,2,1827,1882,1926
inc_wrong_precond.vpr,1,1633,90,5,1506,1690,1705
inc_wrong_precond_2.vpr,1,1596,237,14,1403,1455,1930
inc_wrong_precond_3.vpr,1,1528,26,1,1491,1545,1549
inc_wrong_precond_4.vpr,1,1636,30,1,1603,1629,1677
len.vpr,0,1715,66,3,1622,1758,1766
list_copy.vpr,0,2138,79,3,2035,2152,2227
missing_pre.vpr,1,1282,48,3,1220,1290,1337
missing_pre_2.vpr,1,1230,90,7,1150,1184,1356
multiple_targets_in_one_spec.vpr,2,1491,226,15,1323,1340,1812
nested_loops.vpr,0,1137,26,2,1102,1146,1165
normal_loop.vpr,0,947,42,4,895,947,1000
normal_loop2.vpr,0,965,34,3,936,946,1013
not_missing_pre.vpr,0,938,28,2,898,955,962
not_missing_pre_2.vpr,0,1040,39,3,1007,1019,1096
only_works_for_ie.vpr,0,916,80,8,813,926,1009
postnotpresis_plusduplicatetargetdecl.vpr,2,1012,55,5,946,1010,1081
prec_not_established.vpr,1,927,38,4,873,949,960
prec_not_preserved.vpr,1,1018,77,7,961,966,1128
pre_body.vpr,1,8,0,0,8,9,9
pre_outside.vpr,1,6,0,0,6,6,7
pre_precond.vpr,1,8,0,0,7,8,9
targets_declin.vpr,2,5,0,0,5,6,6
targets_declinbase.vpr,4,6,0,0,6,7,7
targets_declinghost.vpr,2,6,1,16,5,7,8
targets_declin_assin.vpr,1,5,1,20,5,5,7
targets_declin_assout.vpr,3,5,0,0,5,6,6
targets_declout_assin.vpr,0,1014,59,5,932,1038,1072
targets_declout_assout.vpr,0,910,56,6,866,874,990
targets_declout_postnotpresbc.vpr,1,951,77,8,865,936,1052
test_with_all.vpr,0,1049,10,0,1034,1056,1057
