File,Outputs,Mean [ms],StdDev [ms],RelStdDev [%],Best [ms],Median [ms],Worst [ms]
adt_plugin_compatibility.vpr,0,1087,20,1,1058,1097,1106
duplicate_decl.vpr,0,1077,26,2,1040,1090,1101
goto.vpr,2,7,0,0,6,7,8
goto2.vpr,2,6,0,0,6,6,6
inc.vpr,0,1882,107,5,1791,1822,2034
inc_old.vpr,1,61,6,9,56,58,70
inc_uniqueNameclashing.vpr,0,1870,135,7,1680,1944,1986
inc_wrong_bc.vpr,1,1571,171,10,1430,1471,1813
inc_wrong_fold_ghost.vpr,2,1607,211,13,1309,1732,1781
inc_wrong_precond.vpr,3,1245,104,8,1116,1247,1372
inc_wrong_precond_2.vpr,3,1428,115,8,1336,1357,1591
inc_wrong_precond_3.vpr,3,1464,76,5,1375,1456,1561
inc_wrong_precond_4.vpr,3,1506,123,8,1394,1446,1678
len.vpr,0,1613,20,1,1591,1608,1640
list_copy.vpr,0,1559,148,9,1436,1474,1768
missing_pre.vpr,1,1021,74,7,957,982,1125
missing_pre_2.vpr,1,1064,116,10,918,1072,1203
multiple_targets_in_one_spec.vpr,2,1226,7,0,1217,1227,1235
nested_loops.vpr,0,1128,69,6,1045,1124,1216
normal_loop.vpr,0,1095,32,2,1054,1097,1134
normal_loop2.vpr,0,973,55,5,914,958,1048
not_missing_pre.vpr,0,1000,53,5,951,976,1075
not_missing_pre_2.vpr,1,1101,56,5,1034,1098,1172
only_works_for_ie.vpr,1,1311,197,15,1039,1397,1499
postnotpresis_plusduplicatetargetdecl.vpr,2,992,50,5,922,1017,1039
prec_not_established.vpr,1,1000,52,5,941,993,1068
prec_not_preserved.vpr,1,1404,88,6,1305,1388,1521
pre_body.vpr,1,7,0,0,7,7,7
pre_outside.vpr,1,4,0,0,4,5,5
pre_precond.vpr,1,7,1,14,5,8,8
targets_declin.vpr,2,5,0,0,5,5,5
targets_declinbase.vpr,4,7,0,0,7,7,7
targets_declinghost.vpr,2,5,0,0,5,5,6
targets_declin_assin.vpr,1,5,0,0,5,5,6
targets_declin_assout.vpr,3,6,0,0,6,6,7
targets_declout_assin.vpr,0,1905,155,8,1707,1921,2087
targets_declout_assout.vpr,1,1375,81,5,1260,1425,1441
targets_declout_postnotpresbc.vpr,1,1127,33,2,1084,1132,1165
test_with_all.vpr,0,975,48,4,906,1006,1013
